name,bus0,bus1,carrier,geometry,length,p_nom,tags,under_construction,underground,p_min_pu,underwater_fraction,capital_cost,efficiency,p_nom_extendable,bus2,bus3,bus4,efficiency2,efficiency3,efficiency4,lifetime,marginal_cost,build_year,p_nom_opt,charger_ratio,type,p_nom_min,p_nom_max,p_set,p_max_pu,terrain_factor
AL0 0 coal-2030,EU coal,AL0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1657884199717534,2030.0,0.027090925347394334,,,0.0,inf,0.0,1.0,1.0
AT0 0 coal-2030,EU coal,AT0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1654910972531969,2030.0,1751.6382328298778,,,0.0,inf,0.0,1.0,1.0
BA0 0 coal-2030,EU coal,BA0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1648929867479367,2030.0,0.007531267542212689,,,0.0,inf,0.0,1.0,1.0
BE0 0 coal-2030,EU coal,BE0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1652538651514075,2030.0,5091.318891026107,,,0.0,inf,0.0,1.0,1.0
BG0 0 coal-2030,EU coal,BG0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1659775194854451,2030.0,0.04400546752889048,,,0.0,inf,0.0,1.0,1.0
CH0 0 coal-2030,EU coal,CH0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1656266922199516,2030.0,0.009945543094988256,,,0.0,inf,0.0,1.0,1.0
CZ0 0 coal-2030,EU coal,CZ0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1654119945891965,2030.0,0.016883047622756366,,,0.0,inf,0.0,1.0,1.0
DE0 0 coal-2030,EU coal,DE0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.165427426605975,2030.0,0.3013571659400338,,,0.0,inf,0.0,1.0,1.0
DK0 0 coal-2030,EU coal,DK0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1645932811235975,2030.0,0.0014052494883927972,,,0.0,inf,0.0,1.0,1.0
DK1 0 coal-2030,EU coal,DK1 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1656345511989143,2030.0,0.0010203880707659358,,,0.0,inf,0.0,1.0,1.0
EE2 0 coal-2030,EU coal,EE2 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1656643674282197,2030.0,0.0032225159266324444,,,0.0,inf,0.0,1.0,1.0
ES0 0 coal-2030,EU coal,ES0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1658733741623049,2030.0,0.00332237678682993,,,0.0,inf,0.0,1.0,1.0
ES3 0 coal-2030,EU coal,ES3 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1659620685022947,2030.0,0.0012384362301363,,,0.0,inf,0.0,1.0,1.0
FI1 0 coal-2030,EU coal,FI1 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1644207050390927,2030.0,0.00247045770004887,,,0.0,inf,0.0,1.0,1.0
FR0 0 coal-2030,EU coal,FR0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1641481677774628,2030.0,0.010049729788013828,,,0.0,inf,0.0,1.0,1.0
GB4 0 coal-2030,EU coal,GB4 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1649725587381368,2030.0,0.0010643851770162339,,,0.0,inf,0.0,1.0,1.0
GB5 0 coal-2030,EU coal,GB5 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1650895107773247,2030.0,0.002496511123521718,,,0.0,inf,0.0,1.0,1.0
GR0 0 coal-2030,EU coal,GR0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1658856529468573,2030.0,0.005250032696943024,,,0.0,inf,0.0,1.0,1.0
HR0 0 coal-2030,EU coal,HR0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1640731066052024,2030.0,0.0064385899606201336,,,0.0,inf,0.0,1.0,1.0
HU0 0 coal-2030,EU coal,HU0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1650944692733116,2030.0,0.02815525465687935,,,0.0,inf,0.0,1.0,1.0
IE4 0 coal-2030,EU coal,IE4 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.165832760319944,2030.0,0.019185549935867626,,,0.0,inf,0.0,1.0,1.0
IT0 0 coal-2030,EU coal,IT0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1655281620423978,2030.0,44251.647194174664,,,0.0,inf,0.0,1.0,1.0
IT6 0 coal-2030,EU coal,IT6 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1646040751462765,2030.0,0.003446204317806803,,,0.0,inf,0.0,1.0,1.0
LT2 0 coal-2030,EU coal,LT2 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1656356594279946,2030.0,0.0035137579037255156,,,0.0,inf,0.0,1.0,1.0
LU0 0 coal-2030,EU coal,LU0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1647145992024122,2030.0,2343.7031141381563,,,0.0,inf,0.0,1.0,1.0
LV2 0 coal-2030,EU coal,LV2 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1655171988115385,2030.0,0.003114597573260821,,,0.0,inf,0.0,1.0,1.0
ME0 0 coal-2030,EU coal,ME0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.165804219592014,2030.0,0.014598216382719494,,,0.0,inf,0.0,1.0,1.0
MK0 0 coal-2030,EU coal,MK0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1645123333727765,2030.0,0.022921877956891643,,,0.0,inf,0.0,1.0,1.0
NL0 0 coal-2030,EU coal,NL0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1651630607172851,2030.0,0.004066905609536017,,,0.0,inf,0.0,1.0,1.0
NO1 0 coal-2030,EU coal,NO1 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1654456317915798,2030.0,0.0011001334639956614,,,0.0,inf,0.0,1.0,1.0
PL0 0 coal-2030,EU coal,PL0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1651954781825333,2030.0,0.004496311049890089,,,0.0,inf,0.0,1.0,1.0
PT0 0 coal-2030,EU coal,PT0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1641014302163604,2030.0,0.003346603869908221,,,0.0,inf,0.0,1.0,1.0
RO0 0 coal-2030,EU coal,RO0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1652699562812958,2030.0,8471.93959687534,,,0.0,inf,0.0,1.0,1.0
RS0 0 coal-2030,EU coal,RS0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.165651057042354,2030.0,3437.0415452815055,,,0.0,inf,0.0,1.0,1.0
SE1 0 coal-2030,EU coal,SE1 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1646138762665323,2030.0,0.001219532718510779,,,0.0,inf,0.0,1.0,1.0
SI0 0 coal-2030,EU coal,SI0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.164185173276058,2030.0,0.004335833480071624,,,0.0,inf,0.0,1.0,1.0
SK0 0 coal-2030,EU coal,SK0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.165263249908875,2030.0,0.004203977138190935,,,0.0,inf,0.0,1.0,1.0
BA0 0 coal-2025,EU coal,BA0 0,coal,,0.0,4039.471285383615,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1758080396602384,2025.0,4039.471285383615,,,0.0,inf,0.0,1.0,1.0
BE0 0 coal-2025,EU coal,BE0 0,coal,,0.0,5916.677206100835,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1744411605498135,2025.0,5916.677206100835,,,0.0,inf,0.0,1.0,1.0
HR0 0 coal-2025,EU coal,HR0 0,coal,,0.0,201.94844369270876,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.174653884018641,2025.0,201.94844369270876,,,0.0,inf,0.0,1.0,1.0
IT0 0 coal-2025,EU coal,IT0 0,coal,,0.0,30720.228986479167,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1764992214324106,2025.0,30720.228986479167,,,0.0,inf,0.0,1.0,1.0
ME0 0 coal-2025,EU coal,ME0 0,coal,,0.0,196.45458059447074,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1765512711514317,2025.0,196.45458059447074,,,0.0,inf,0.0,1.0,1.0
RS0 0 coal-2025,EU coal,RS0 0,coal,,0.0,2365.546269871657,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1762621939942248,2025.0,2365.546269871657,,,0.0,inf,0.0,1.0,1.0
SI0 0 coal-2025,EU coal,SI0 0,coal,,0.0,7549.844690969462,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1735444307576968,2025.0,7549.844690969462,,,0.0,inf,0.0,1.0,1.0
AT0 0 coal-1990,EU coal,AT0 0,coal,,0.0,2133.333333333333,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1865049716694327,1990.0,2133.333333333333,,,0.0,inf,0.0,1.0,1.0
DE0 0 coal-1990,EU coal,DE0 0,coal,,0.0,9193.636363636364,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1853173605441092,1990.0,9193.636363636364,,,0.0,inf,0.0,1.0,1.0
DK0 0 coal-1990,EU coal,DK0 0,coal,,0.0,1896.9696969696968,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.185517490742896,1990.0,1896.9696969696968,,,0.0,inf,0.0,1.0,1.0
DK1 0 coal-1990,EU coal,DK1 0,coal,,0.0,1603.030303030303,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1829292660366062,1990.0,1603.030303030303,,,0.0,inf,0.0,1.0,1.0
GR0 0 coal-1990,EU coal,GR0 0,coal,,0.0,1818.181818181818,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1834922379355162,1990.0,1818.181818181818,,,0.0,inf,0.0,1.0,1.0
PL0 0 coal-1990,EU coal,PL0 0,coal,,0.0,1351.5151515151515,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1851291529127812,1990.0,1351.5151515151515,,,0.0,inf,0.0,1.0,1.0
PT0 0 coal-1990,EU coal,PT0 0,coal,,0.0,3575.7575757575755,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1844005751562046,1990.0,3575.7575757575755,,,0.0,inf,0.0,1.0,1.0
RO0 0 coal-1990,EU coal,RO0 0,coal,,0.0,4563.636363636363,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1859492622166186,1990.0,4563.636363636363,,,0.0,inf,0.0,1.0,1.0
SI0 0 coal-1990,EU coal,SI0 0,coal,,0.0,745.4545454545454,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1860645505343506,1990.0,745.4545454545454,,,0.0,inf,0.0,1.0,1.0
CZ0 0 coal-1995,EU coal,CZ0 0,coal,,0.0,536.3636363636364,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.184598829083573,1995.0,536.3636363636364,,,0.0,inf,0.0,1.0,1.0
DE0 0 coal-1995,EU coal,DE0 0,coal,,0.0,4761.818181818182,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1869662724943062,1995.0,4761.818181818182,,,0.0,inf,0.0,1.0,1.0
DK0 0 coal-1995,EU coal,DK0 0,coal,,0.0,2454.5454545454545,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1859491563370517,1995.0,2454.5454545454545,,,0.0,inf,0.0,1.0,1.0
GR0 0 coal-1995,EU coal,GR0 0,coal,,0.0,1878.7878787878788,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1859532259066479,1995.0,1878.7878787878788,,,0.0,inf,0.0,1.0,1.0
PL0 0 coal-1995,EU coal,PL0 0,coal,,0.0,2198.7878787878785,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1852654473165019,1995.0,2198.7878787878785,,,0.0,inf,0.0,1.0,1.0
PT0 0 coal-1995,EU coal,PT0 0,coal,,0.0,1745.4545454545453,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1863002099798936,1995.0,1745.4545454545453,,,0.0,inf,0.0,1.0,1.0
DE0 0 coal-2000,EU coal,DE0 0,coal,,0.0,413.3333333333333,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1868318496267862,2000.0,413.3333333333333,,,0.0,inf,0.0,1.0,1.0
PL0 0 coal-2000,EU coal,PL0 0,coal,,0.0,8187.878787878787,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1862295773421412,2000.0,8187.878787878787,,,0.0,inf,0.0,1.0,1.0
CZ0 0 coal-2005,EU coal,CZ0 0,coal,,0.0,193.93939393939394,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1852954835891063,2005.0,193.93939393939394,,,0.0,inf,0.0,1.0,1.0
DE0 0 coal-2005,EU coal,DE0 0,coal,,0.0,4212.121212121212,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1853137171293617,2005.0,4212.121212121212,,,0.0,inf,0.0,1.0,1.0
DK0 0 coal-2005,EU coal,DK0 0,coal,,0.0,145.283532611845,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.184352541941934,2005.0,145.283532611845,,,0.0,inf,0.0,1.0,1.0
GR0 0 coal-2005,EU coal,GR0 0,coal,,0.0,1000.0,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.183456403792042,2005.0,1000.0,,,0.0,inf,0.0,1.0,1.0
IE4 0 coal-2005,EU coal,IE4 0,coal,,0.0,2590.909090909091,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1852052439392906,2005.0,2590.909090909091,,,0.0,inf,0.0,1.0,1.0
IT6 0 coal-2005,EU coal,IT6 0,coal,,0.0,1634.4397418832561,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1847838123717331,2005.0,1634.4397418832561,,,0.0,inf,0.0,1.0,1.0
NL0 0 coal-2005,EU coal,NL0 0,coal,,0.0,8918.181818181818,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1848134839377036,2005.0,8918.181818181818,,,0.0,inf,0.0,1.0,1.0
PL0 0 coal-2005,EU coal,PL0 0,coal,,0.0,469.6969696969697,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1849136514902594,2005.0,469.6969696969697,,,0.0,inf,0.0,1.0,1.0
SK0 0 coal-2005,EU coal,SK0 0,coal,,0.0,1333.3333333333333,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1847711807596155,2005.0,1333.3333333333333,,,0.0,inf,0.0,1.0,1.0
BG0 0 coal-2010,EU coal,BG0 0,coal,,0.0,400.0,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1865415656552247,2010.0,400.0,,,0.0,inf,0.0,1.0,1.0
CZ0 0 coal-2010,EU coal,CZ0 0,coal,,0.0,1441.6596697636926,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1837345093577667,2010.0,1441.6596697636926,,,0.0,inf,0.0,1.0,1.0
DE0 0 coal-2010,EU coal,DE0 0,coal,,0.0,68.48484848484848,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1845499698732664,2010.0,68.48484848484848,,,0.0,inf,0.0,1.0,1.0
PL0 0 coal-2010,EU coal,PL0 0,coal,,0.0,5424.242424242424,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.185683712176416,2010.0,5424.242424242424,,,0.0,inf,0.0,1.0,1.0
DE0 0 coal-2015,EU coal,DE0 0,coal,,0.0,7523.333333333332,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1846948862896074,2015.0,7523.333333333332,,,0.0,inf,0.0,1.0,1.0
NL0 0 coal-2015,EU coal,NL0 0,coal,,0.0,4787.878787878788,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1836497730515918,2015.0,4787.878787878788,,,0.0,inf,0.0,1.0,1.0
CZ0 0 coal-2019,EU coal,CZ0 0,coal,,0.0,2272.7272727272725,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1854230744906122,2019.0,2272.7272727272725,,,0.0,inf,0.0,1.0,1.0
NL0 0 coal-2019,EU coal,NL0 0,coal,,0.0,3236.363636363636,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.184702879306915,2019.0,3236.363636363636,,,0.0,inf,0.0,1.0,1.0
PL0 0 coal-2019,EU coal,PL0 0,coal,,0.0,12169.69696969697,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1875990448956448,2019.0,12169.69696969697,,,0.0,inf,0.0,1.0,1.0
