cluster,lv,opt,planning_horizon,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,2020,696520799568.3497,696520799568.3497,696520799568.3497,696520799568.3497,696520799568.3497,696520799568.3497,696520799568.3497,696520799568.3497,696520799568.3497,696520799568.3497
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,2025,693462598454.2789,659805868067.8632,628090440884.7518,598186929068.5292,569975707193.3475,543346091356.1374,518195594271.89264,494429248686.73346,471958992279.3468,450703107959.44226
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,2030,867652856041.7349,785474811776.6915,711777545335.6599,645615210423.419,586155180521.1649,532663587796.51337,484492822989.18945,441070715187.48193,401891152836.6095,366505943025.9382
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,2035,957443305625.8104,824693288478.7389,711394479208.8766,614546424670.9331,531634280974.46967,460546600458.753,399507639072.79047,347021515157.29803,301826060073.6581,262854609794.8667
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,2040,929204925172.3895,761524758235.2122,625328277223.8357,514478237738.47925,424076998194.627,350207563731.2669,289730487914.5813,240124210172.78415,199359251006.7566,165798861588.57425
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,2045,890678145501.9404,694522710726.6387,542895825388.3108,425392842711.37317,334108337778.1787,263019725057.34543,207526788121.70126,164106715745.76596,130054956757.91241,103290016709.67719
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,2050,834176333638.1051,618894539401.7484,460524470077.59204,343669604560.4225,257192136042.25208,193009591806.2824,145238550652.28345,109583340148.62299,82898218913.12787,62872817997.42953
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,2020,696519669051.4934,696519669051.4934,696519669051.4934,696519669051.4934,696519669051.4934,696519669051.4934,696519669051.4934,696519669051.4934,696519669051.4934,696519669051.4934
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,2025,668712793475.6093,636257277855.7003,605673779978.2888,576837529882.1338,549633171594.3714,523953971540.35834,499701100224.7407,476782979792.02594,455114690881.0019,434617432899.0418
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,2030,714189665075.0702,646546586969.012,585884277532.7404,531424183864.48975,482480947470.41534,438450500931.42145,398799778704.6766,363057810690.84296,330808002120.1541,301681432700.9222
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,2035,801352822308.8502,690244832647.9674,595416950893.3479,514357883079.0142,444962776377.20306,385464409134.01184,334376534071.2992,290447140775.0137,252619829983.86975,220001834237.41055
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,2040,823827341662.3107,675163142372.0205,554412184369.3523,456133224714.20294,375984044658.3905,310491860775.7469,256873259268.3056,212892640123.1744,176750679364.0979,146996245599.76575
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,2045,800292841278.6204,624043102782.901,487803192222.1072,382224318034.9061,300203291487.1752,236328694199.4536,186467136019.98975,147453297782.52185,116857084000.30692,92808228612.95146
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,2050,748042290338.0195,554989718675.7465,412972372221.47955,308183519177.21747,230635402544.80478,173080116625.09543,130241741097.4433,98268159191.42215,74338447448.23628,56380797294.60001
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,2020,696520274739.6915,696520274739.6915,696520274739.6915,696520274739.6915,696520274739.6915,696520274739.6915,696520274739.6915,696520274739.6915,696520274739.6915,696520274739.6915
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,2025,661921848404.9358,629795926634.5322,599523011799.9174,570979601009.9005,544051509760.27106,518633088382.43567,494626511019.1955,471941129811.003,450492887773.92236,430203784554.9831
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,2030,660884167405.6624,598289815315.4799,542155203145.6425,491759887418.14185,446469663243.53625,405725549425.5859,369034267225.21826,335959998683.71063,306117242720.5711,279164614418.4113
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,2035,701128860663.5686,603916975919.5845,520949071093.0993,450027935881.5599,389311968154.28143,337254969944.2178,292556576628.22424,254121364803.89288,221025057436.37524,192486544114.67392
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,2040,731014579159.9132,599098956086.452,491951855858.67236,404745048437.57086,333625511411.4155,275511706712.20374,227933801204.70258,188908058588.90445,156837867544.9901,130435581803.31273
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,2045,731357534641.6755,570289526059.3114,445784994757.5564,349300431666.34106,274344499699.128,215971907081.72867,170405303980.21555,134752024232.4214,106791294950.65097,84813950308.96983
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,2050,720329171056.4951,534428720357.4152,397672765823.3221,296766080968.3444,222090930522.53665,166667925791.44086,125416606271.39505,94627566604.04701,71584391577.40393,54292028008.69954
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,2020,696519902195.6014,696519902195.6014,696519902195.6014,696519902195.6014,696519902195.6014,696519902195.6014,696519902195.6014,696519902195.6014,696519902195.6014,696519902195.6014
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,2025,658788501744.5796,626814654799.8262,596685043191.755,568276748656.1565,541476127205.2504,516178029285.43005,492285092118.8218,469707096946.6377,448360384686.4021,428167324216.26447
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,2030,641085819529.1238,580366629258.376,525913662124.78723,477028057238.201,433094608816.1985,393571081265.9683,357978973179.4106,325895522555.23535,296946776909.3232,270801578316.68112
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,2035,646413802207.7817,556788189053.4884,480294976708.26685,414908421909.2033,358930638429.9011,310936091303.93744,269725894438.52173,234290109652.0939,203776589121.46466,177465179135.88947
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,2040,665566123841.5531,545461036438.1724,447906921633.21246,368507825578.8472,303755690755.07745,250844872232.4303,207526663469.0452,171994934029.8258,142796018779.07147,118757555685.9828
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,2045,669289405008.4536,521890757255.6777,407952553670.15656,319656347279.8596,251061701389.22928,197643016366.94226,155943514777.73657,123316022397.15652,97728236699.7448,77616043658.48053
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,2050,709512176078.3162,526403343881.51605,391701017789.62756,292309622259.58466,218755849039.38934,164165117091.26657,123533257859.68465,93206569157.48798,70509427470.26791,53476738807.70286
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,2020,696519694520.2173,696519694520.2173,696519694520.2173,696519694520.2173,696519694520.2173,696519694520.2173,696519694520.2173,696519694520.2173,696519694520.2173,696519694520.2173
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,2025,657001137829.5195,625114039363.38,595066172625.507,566734952842.1344,540007044353.81903,514777582888.979,490949469825.4073,468432731177.49207,447143934838.82776,427005660309.1298
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,2030,632073535134.0194,572207925763.5048,518520449943.272,470322071260.4851,427006232399.5981,388038320431.1352,352946560645.1107,321314134162.4673,292772345464.7436,266994691993.37167
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,2035,622971333438.6001,536596030890.4731,462876877105.46906,399861593253.2296,345913867666.41003,299659863004.4975,259944171283.75812,225793480156.1137,196386545298.0582,171029329676.4544
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,2040,626639882038.346,513559250217.3415,421710676794.02155,346955309290.8169,285990262131.41864,236173981089.03018,195389277274.89453,161935653439.7495,134444463379.21652,111811911725.15688
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,2045,626775070199.6385,488739420596.89154,382038754164.2088,299351264201.7147,235113860065.79218,185088415461.01254,146037732990.4986,115482791175.72725,91520382602.19547,72685748270.65712
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,2050,708197857447.361,525428220767.9358,390975420734.6333,291768140385.84607,218350620069.8006,163861013399.7153,123304421670.79074,93033910907.91682,70378813990.60307,53377677119.25351
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,2020,696519890895.8966,696519890895.8966,696519890895.8966,696519890895.8966,696519890895.8966,696519890895.8966,696519890895.8966,696519890895.8966,696519890895.8966,696519890895.8966
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,2025,656105171101.9988,624261557764.9067,594254667955.8088,565962084072.4591,539270625013.7153,514075569513.68134,490279951365.6513,467793919283.49255,446534154938.9758,426423343411.8351
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,2030,627869239015.5923,568401831333.8264,515071462770.3486,467193680102.3396,424165960586.8553,385457247322.22284,350598903651.9765,319176883206.7401,290824942880.70844,265218751877.55844
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,2035,609091142366.5916,524640335600.081,452563690683.91156,390952426781.5117,338206690273.246,292983253774.09174,254152452513.07556,220762660150.18878,192010930199.2659,167218689206.49335
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,2040,605343740718.8735,496106115359.4463,407378984180.1986,335164152184.4992,276270981228.7535,228147689399.94388,188749039747.04898,156432325836.18823,129875414434.50026,108012022280.59451
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,2045,597115037864.4435,465611463363.7312,363960048835.04047,285185467573.9447,223987883581.46463,176329725703.78418,139126986075.6969,110017954612.68452,87189486820.96101,69246138518.26404
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,2050,708690589437.1427,525793789923.4817,391247443722.2609,291971139441.62604,218502538540.55798,163975020470.38214,123390211302.0355,93098639688.94429,70427780381.40955,53414814889.12999
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,cumulative cost,25518951986996.906,21918645533850.97,18990046014322.03,16591574233385.602,14614034862335.443,12972743820436.662,11601665037402.36,10449022374042.75,9473999610975.111,8644246739306.941
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,cumulative cost,22653282217476.086,19490048182456.105,16919682028161.615,14816643668445.512,13084208836928.521,11647446647096.434,10447992566817.4,9440138916425.182,8587896722996.478,7862777036115.692
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,cumulative cost,20973658565869.246,18084328487819.566,15737303284681.973,13817280411337.66,12235543774498.734,10923456609058.69,9827624502815.498,8906282483959.008,8126583417925.287,7462553132872.732
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,cumulative cost,19920798457342.254,17213914449220.496,15014318086603.96,13213960814449.305,11729783211065.762,10497578000490.71,9467433590055.895,8600334606287.471,7865613355144.705,7239030007574.752
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,cumulative cost,19339098673119.562,16735953122378.336,14619802441299.518,12886845541507.062,11457332119560.236,10269642584173.105,9275896350575.867,8438677964128.085,7728584629192.258,7122380138972.527
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,cumulative cost,18990647856170.094,16450890719158.402,14385562608671.934,12693516629417.578,11297066777011.309,10136204706984.316,9164311922262.076,8344965041908.573,7649543824565.323,7055431490936.293
