cluster,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m
lv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
opt,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0
planning_horizon,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
line_volume,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015
line_volume_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
line_volume_AC,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322
line_volume_DC,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274
line_volume_shadow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
co2_shadow,17.93547017606409,65.2764200500565,367.0489731873568,366.99456802900835,278.94647293922304,239.47904658448857,219.0751810806708,17.93551441478444,31.606919287663487,184.00925551204355,295.0952995412946,293.0765520868791,268.52608705175004,266.1761841789348,17.935551118774374,17.92912917676371,65.5817650669811,193.25368057516766,228.18259973350987,239.47906837107053,432.6345575500388,17.93551270177239,17.585610617036203,45.52381891595032,97.59479597806839,154.66058200784022,169.7040187117628,428.5285842968949,17.935424585665384,14.311830685045456,24.500418176991577,54.48959859169991,92.85647037724866,141.65715020635423,433.65640872666614,17.935500539868308,5.833529793321555,13.037354031791773,39.295342834362074,59.465942783480315,99.28192840492838,436.10771915721295
total costs,696520799568.3497,693462598454.2789,867652856041.7349,957443305625.8104,929204925172.3895,890678145501.9404,834176333638.1051,696519669051.4934,668712793475.6093,714189665075.0702,801352822308.8502,823827341662.3107,800292841278.6204,748042290338.0195,696520274739.6915,661921848404.9358,660884167405.6624,701128860663.5686,731014579159.9132,731357534641.6755,720329171056.4951,696519902195.6014,658788501744.5796,641085819529.1238,646413802207.7817,665566123841.5531,669289405008.4536,709512176078.3162,696519694520.2173,657001137829.5195,632073535134.0194,622971333438.6001,626639882038.346,626775070199.6385,708197857447.361,696519890895.8966,656105171101.9988,627869239015.5923,609091142366.5916,605343740718.8735,597115037864.4435,708690589437.1427
